"country","nr"
"1","afg",19
"2","ago",41
"3","alb",41
"4","and",50
"5","are",45
"6","arg",61
"7","arm",31
"8","atg",44
"9","aus",61
"10","aut",61
"11","aze",31
"12","bdi",61
"13","bel",61
"14","ben",61
"15","bfa",61
"16","bgd",61
"17","bgr",41
"18","bhr",41
"19","bhs",61
"20","bih",27
"21","blr",31
"22","blz",61
"23","bol",61
"24","bra",61
"25","brb",47
"26","brn",47
"27","btn",41
"28","bwa",61
"29","caf",61
"30","can",24
"31","che",41
"32","chl",61
"33","chn",61
"34","civ",61
"35","cmr",61
"36","cod",61
"37","cog",61
"38","col",61
"39","com",41
"40","cpv",41
"41","cri",61
"42","cub",50
"43","cyp",46
"44","cze",31
"45","deu",51
"46","dji",1
"47","dma",43
"48","dnk",61
"49","dom",61
"50","dza",61
"51","ecu",61
"52","egy",61
"53","eri",20
"54","esp",61
"55","est",26
"56","eth",40
"57","fin",61
"58","fji",61
"59","fra",61
"60","fsm",34
"61","gab",61
"62","gbr",61
"63","geo",56
"64","gha",61
"65","gin",35
"66","gmb",55
"67","gnb",51
"68","gnq",41
"69","grc",61
"70","grd",44
"71","gtm",61
"72","guy",61
"73","hkg",60
"74","hnd",61
"75","hrv",26
"76","hti",61
"77","hun",30
"78","idn",61
"79","ind",61
"80","irl",51
"81","irn",61
"82","irq",53
"83","isl",26
"84","isr",26
"85","ita",61
"86","jam",55
"87","jor",45
"88","jpn",60
"89","kaz",31
"90","ken",61
"91","kgz",35
"92","khm",28
"93","kir",51
"94","kna",43
"95","kor",61
"96","kwt",25
"97","lao",37
"98","lbn",33
"99","lbr",21
"100","lby",22
"101","lca",44
"102","lka",60
"103","lso",61
"104","ltu",26
"105","lux",61
"106","lva",26
"107","mar",55
"108","mco",50
"109","mda",26
"110","mdg",61
"111","mdv",26
"112","mex",61
"113","mhl",39
"114","mkd",31
"115","mli",54
"116","mlt",51
"117","mmr",61
"118","mne",24
"119","mng",40
"120","moz",41
"121","mrt",60
"122","mus",45
"123","mwi",61
"124","mys",61
"125","nam",41
"126","ner",61
"127","nga",61
"128","nic",61
"129","nld",61
"130","nor",61
"131","npl",61
"132","nru",16
"133","nzl",44
"134","omn",55
"135","pak",61
"136","pan",61
"137","per",61
"138","phl",61
"139","plw",20
"140","png",61
"141","pol",31
"142","prt",61
"143","pry",61
"144","pse",27
"145","qat",21
"146","rou",31
"147","rus",32
"148","rwa",61
"149","sau",53
"150","sdn",61
"151","sen",61
"152","sgp",61
"153","slb",41
"154","sle",61
"155","slv",56
"156","smr",23
"157","srb",26
"158","ssd",8
"159","stp",20
"160","sur",61
"161","svk",29
"162","svn",26
"163","swe",61
"164","swz",51
"165","syc",61
"166","tcd",61
"167","tgo",61
"168","tha",61
"169","tjk",36
"170","tkm",33
"171","tls",21
"172","ton",39
"173","tto",61
"174","tun",56
"175","tur",61
"176","tuv",30
"177","tza",33
"178","uga",39
"179","ukr",34
"180","ury",61
"181","usa",61
"182","uzb",34
"183","vct",61
"184","ven",55
"185","vnm",37
"186","vut",42
"187","wsm",39
"188","yem",29
"189","zaf",61
"190","zmb",61
"191","zwe",61
