"country","nr"
"1","arg",61
"2","aus",61
"3","aut",61
"4","bdi",61
"5","bel",61
"6","ben",61
"7","bfa",61
"8","bgd",61
"9","bhs",61
"10","blz",61
"11","bol",61
"12","bra",61
"13","bwa",61
"14","caf",61
"15","chl",61
"16","chn",61
"17","civ",61
"18","cmr",61
"19","cod",61
"20","cog",61
"21","col",61
"22","cri",61
"23","dnk",61
"24","dom",61
"25","dza",61
"26","ecu",61
"27","egy",61
"28","esp",61
"29","fin",61
"30","fji",61
"31","fra",61
"32","gab",61
"33","gbr",61
"34","gha",61
"35","grc",61
"36","gtm",61
"37","guy",61
"38","hnd",61
"39","hti",61
"40","idn",61
"41","ind",61
"42","irn",61
"43","ita",61
"44","jpn",61
"45","ken",61
"46","kor",61
"47","lso",61
"48","lux",61
"49","mdg",61
"50","mex",61
"51","mmr",61
"52","mwi",61
"53","mys",61
"54","ner",61
"55","nga",61
"56","nic",61
"57","nld",61
"58","nor",61
"59","npl",61
"60","pak",61
"61","pan",61
"62","per",61
"63","phl",61
"64","png",61
"65","prt",61
"66","pry",61
"67","rwa",61
"68","sdn",61
"69","sen",61
"70","sgp",61
"71","sle",61
"72","sur",61
"73","swe",61
"74","syc",61
"75","tcd",61
"76","tgo",61
"77","tha",61
"78","tto",61
"79","tur",61
"80","ury",61
"81","usa",61
"82","vct",61
"83","zaf",61
"84","zmb",61
"85","zwe",61
